File,Line,Function,Executable Source Lines,Executable Source Lines Covered,Instructions,Instructions Covered,Run Count,Instructions Executed
,0,"____disable_irq_from_thumb",0,0,3,2,1344,2680
,0,"____enable_irq_from_thumb",0,0,3,0,0,0
,0,"___Unwind_Resume",0,0,11,0,0,0
,0,"___ZN13TimeStretcher12getSamplePosEl_from_thumb",0,0,3,0,0,0
,0,"___ZN5Delay7processESt4spanI12StereoSampleLj4294967295EERKNS_5StateE_from_thumb",0,0,3,2,3,6
,0,"___ZN6deluge3dsp6reverb8Freeverb6updateEv_from_thumb",0,0,3,0,0,0
,0,"__adddf3",0,0,202,0,0,0
,0,"__adjust_heap<SortedTask*, int, SortedTask, __gnu_cxx::__ops::_Iter_less_iter>(struct SortedTask*, int, int, struct SortedTask, struct _Iter_less_iter) (always inlined)",0,0,0,0,0,0
,0,"__advance<const RuntimeFeatureSettingOption*, int>(const struct RuntimeFeatureSettingOption*&, int, struct random_access_iterator_tag) (always inlined)",0,0,0,0,0,0
,0,"__aeabi_d2lz",0,0,15,0,0,0
,0,"__aeabi_d2ulz",0,0,13,0,0,0
,0,"__aeabi_drsub",0,0,3,0,0,0
,0,"__aeabi_dsub",0,0,203,0,0,0
,0,"__aeabi_f2d",0,0,21,0,0,0
,0,"__aeabi_fadd",0,0,120,0,0,0
,0,"__aeabi_frsub",0,0,124,0,0,0
,0,"__aeabi_i2d",0,0,12,0,0,0
,0,"__aeabi_i2f",0,0,10,0,0,0
,0,"__aeabi_idivmod",0,0,8,0,0,0
,0,"__aeabi_ldiv0",0,0,1,0,0,0
,0,"__aeabi_ldivmod",0,0,55,0,0,0
,0,"__aeabi_uidiv",0,0,191,144,1,209
,0,"__aeabi_uidivmod",0,0,8,7,2,10
,0,"__aeabi_ul2d",0,0,34,0,0,0
,0,"__aeabi_ul2f",0,0,45,0,0,0
,0,"__aeabi_uldivmod",0,0,16,0,0,0
,0,"__aeabi_unwind_cpp_pr0",0,0,2,0,0,0
,0,"__aeabi_unwind_cpp_pr1",0,0,2,0,0,0
,0,"__aeabi_unwind_cpp_pr2",0,0,2,0,0,0
,0,"__apply_impl<std::ranges::__detail::__tuple_for_each<std::ranges::zip_view<std::span<StereoSample, 4294967295>, std::span<StereoSample, 4294967295> >::_Iterator<true>::operator+=(difference_type) requires  __all_random_access<_Const, _Vs ...>::<lambda(_It&)>&, std::pair<__gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample> >, __gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample> > >&>(std::ranges::zip_view<std::span<StereoSample, 4294967295>, std::span<StereoSample, 4294967295> >::_Iterator<true>::operator+=(difference_type) requires  __all_random_access<_Const, _Vs ...>::<lambda(_It&)>&, std::pair<__gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample> >, __gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample> > >&)::<lambda(_Ts&& ...)>, std::pair<__gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample> >, __gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample> > >&, 0, 1>(struct, struct pair<__gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample, 4294967295> >, __gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample, 4294967295> > >&, struct integer_sequence<unsigned int, 0, 1>) (always inlined)",0,0,0,0,0,0
,0,"__bit_width<unsigned int>(unsigned int) (always inlined)",0,0,0,0,0,0
,0,"__char_traits_cmp_cat<std::char_traits<char> >(int) (always inlined)",0,0,0,0,0,0
,0,"__copy_move<false, false, std::random_access_iterator_tag>::__assign_one<RuntimeFeatureSettingOption, const RuntimeFeatureSettingOption>(struct RuntimeFeatureSettingOption*, const struct RuntimeFeatureSettingOption*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<char const* const*, std::basic_string_view<char>*>(const char**, const char**, class basic_string_view<char, std::char_traits<char> >*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<const RuntimeFeatureSettingOption, RuntimeFeatureSettingOption>(const struct RuntimeFeatureSettingOption*, const struct RuntimeFeatureSettingOption*, struct RuntimeFeatureSettingOption*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move<true, false, std::random_access_iterator_tag>::__assign_one<SortedTask, SortedTask>(struct SortedTask*, struct SortedTask*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_a1<false, char const* const*, std::basic_string_view<char>*>(const char**, const char**, class basic_string_view<char, std::char_traits<char> >*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_a1<false, const RuntimeFeatureSettingOption*, RuntimeFeatureSettingOption*>(const struct RuntimeFeatureSettingOption*, const struct RuntimeFeatureSettingOption*, struct RuntimeFeatureSettingOption*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_a2<false, char const* const*, std::basic_string_view<char>*>(const char**, const char**, class basic_string_view<char, std::char_traits<char> >*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_a2<false, const RuntimeFeatureSettingOption*, RuntimeFeatureSettingOption*>(const struct RuntimeFeatureSettingOption*, const struct RuntimeFeatureSettingOption*, struct RuntimeFeatureSettingOption*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_a<false, char const* const*, std::basic_string_view<char>*>(const char**, const char**, class basic_string_view<char, std::char_traits<char> >*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_a<false, const RuntimeFeatureSettingOption*, RuntimeFeatureSettingOption*>(const struct RuntimeFeatureSettingOption*, const struct RuntimeFeatureSettingOption*, struct RuntimeFeatureSettingOption*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<SortedTask, SortedTask>(struct SortedTask*, struct SortedTask*, struct SortedTask*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_backward_a1<true, SortedTask*, SortedTask*>(struct SortedTask*, struct SortedTask*, struct SortedTask*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_backward_a2<true, SortedTask*, SortedTask*>(struct SortedTask*, struct SortedTask*, struct SortedTask*) (always inlined)",0,0,0,0,0,0
,0,"__copy_move_backward_a<true, SortedTask*, SortedTask*>(struct SortedTask*, struct SortedTask*, struct SortedTask*) (always inlined)",0,0,0,0,0,0
,0,"__countl_zero<unsigned int>(unsigned int) (always inlined)",0,0,0,0,0,0
,0,"__delugeDealloc_from_arm",0,0,1,0,0,0
"isr.S",71,"__disable_fiq",3,0,3,0,0,0
"isr.S",55,"__disable_irq",3,3,3,3,1341,5356
,0,"__distance<__gnu_cxx::__normal_iterator<MenuItem**, std::span<MenuItem*> > >(class __normal_iterator<MenuItem**, std::span<MenuItem*, 4294967295> >, class __normal_iterator<MenuItem**, std::span<MenuItem*, 4294967295> >, struct random_access_iterator_tag) (always inlined)",0,0,0,0,0,0
,0,"__distance<const RuntimeFeatureSettingOption*>(const struct RuntimeFeatureSettingOption*, const struct RuntimeFeatureSettingOption*, struct random_access_iterator_tag) (always inlined)",0,0,0,0,0,0
,0,"__distance<MenuItem* const*>(const class MenuItem**, const class MenuItem**, struct random_access_iterator_tag) (always inlined)",0,0,0,0,0,0
,0,"__divsi3",0,0,211,0,0,0
,0,"__do_visit<void, std::__detail::__variant::_Variant_storage<false, deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>::_M_reset()::<lambda(auto:19&&)>, std::variant<deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&>(struct, class variant<deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&) (always inlined)",0,0,0,0,0,0
,0,"__emplace<0, false, deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>(struct _Variant_storage<false, deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&) (always inlined)",0,0,0,0,0,0
,0,"__emplace<1, false, deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>(struct _Variant_storage<false, deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&) (always inlined)",0,0,0,0,0,0
"isr.S",63,"__enable_fiq",3,0,3,0,0,0
"isr.S",47,"__enable_irq",3,3,3,3,1063,4164
,0,"__errno",0,0,4,0,0,0
,0,"__extent_storage<4294967295>::__extent_storage(const class __extent_storage<4294967295>*, unsigned int) (always inlined)",0,0,0,0,0,0
,0,"__extent_storage<4294967295>::_M_extent(const class __extent_storage<4294967295>*) (always inlined)",0,0,0,0,0,0
,0,"__fill_a1<long int*, int>(long int*, long int*, const int&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a1<long int*, long int>(long int*, long int*, const long int&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a1<long int*, std::span<long int>, int>(class __normal_iterator<long int*, std::span<long int, 4294967295> >, class __normal_iterator<long int*, std::span<long int, 4294967295> >, const int&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a1<RGB*, RGB>(class RGB*, class RGB*, const class RGB&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a1<signed char>(signed char*, signed char*, const signed char&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a1<StereoSample*, std::span<StereoSample>, StereoSample>(class __normal_iterator<StereoSample*, std::span<StereoSample, 4294967295> >, class __normal_iterator<StereoSample*, std::span<StereoSample, 4294967295> >, const struct StereoSample&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a1<StereoSample*, StereoSample>(struct StereoSample*, struct StereoSample*, const struct StereoSample&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a<__gnu_cxx::__normal_iterator<long int*, std::span<long int> >, int>(class __normal_iterator<long int*, std::span<long int, 4294967295> >, class __normal_iterator<long int*, std::span<long int, 4294967295> >, const int&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a<__gnu_cxx::__normal_iterator<StereoSample*, std::span<StereoSample> >, StereoSample>(class __normal_iterator<StereoSample*, std::span<StereoSample, 4294967295> >, class __normal_iterator<StereoSample*, std::span<StereoSample, 4294967295> >, const struct StereoSample&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a<long int*, long int>(long int*, long int*, const long int&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a<RGB*, RGB>(class RGB*, class RGB*, const class RGB&) (always inlined)",0,0,0,0,0,0
,0,"__fill_a<signed char*, signed char>(signed char*, signed char*, const signed char&) (always inlined)",0,0,0,0,0,0
,0,"__fill_n_a<long int*, unsigned int, long int>(long int*, unsigned int, const long int&, struct random_access_iterator_tag) (always inlined)",0,0,0,0,0,0
,0,"__fill_n_a<signed char*, unsigned int, signed char>(signed char*, unsigned int, const signed char&, struct random_access_iterator_tag) (always inlined)",0,0,0,0,0,0
,0,"__final_insertion_sort<SortedTask*, __gnu_cxx::__ops::_Iter_less_iter>(struct SortedTask*, struct SortedTask*, struct _Iter_less_iter) (always inlined)",0,0,0,0,0,0
,0,"__fixsfdi",0,0,12,0,0,0
,0,"__fixunssfdi",0,0,15,0,0,0
,0,"__floatdidf",0,0,28,0,0,0
,0,"__floatdisf",0,0,39,0,0,0
,0,"__floatunsidf",0,0,10,0,0,0
,0,"__floatunsisf",0,0,13,0,0,0
,0,"__from_chars_alnum<true, unsigned int>(const char*&, const char*, unsigned int&, int) (always inlined)",0,0,0,0,0,0
,0,"__from_chars_alnum_to_val<true>(unsigned char) (always inlined)",0,0,0,0,0,0
,0,"__gen_vtable_impl<std::__detail::__variant::_Multi_array<void (*)(std::__detail::__variant::_Variant_storage<false, deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>::_M_reset()::<lambda(auto:19&&)>&&, std::variant<deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&)>, std::integer_sequence<unsigned int, 0> >::__visit_invoke(struct, class variant<deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&) (always inlined)",0,0,0,0,0,0
,0,"__get<1, std::variant<deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&>(class variant<deluge::dsp::reverb::Freeverb, deluge::dsp::reverb::Mutable>&) (always inlined)",0,0,0,0,0,0
